PESSOA_ID;CPF;NOME;IDADE;SITUAÇÃO PREVIDENCIÁRIA
1;111.222.333-77;JOÃO HENRIQUE;15;Pensionista
2;222.222.333-77;HENRIQUE;25;Efetivo
3;333.222.333-77;CARLOS;29;Efetivo
4;444.222.333-77;LUCAS;10;Pensionista
5;555.222.333-77;PAULO;20;Efetivo
6;666.222.333-77;ELIAS;54;Inativo
7;777.222.333-77;MARCELO;46;Efetivo
8;888.222.333-77;PEDRO;26;Efetivo
9;999.222.333-77;MARCOS;28;Efetivo
10;010.222.333-77;OLIVEIRA;11;Pensionista
11;111.222.333-77;ALAOR;7;Pensionista
12;212.222.333-77;THIAGO;5;Pensionista
13;313.222.333-77;JOÃO GABRIEL;2;Pensionista
14;414.222.333-77;JUAN;17;Pensionista
15;515.222.333-77;MAYKON;15;Pensionista
16;166.222.333-77;HENZO;14;Pensionista
17;117.222.333-77;ENZO;22;Efetivo
18;818.222.333-77;FELIPE;19;Pensionista
19;191.222.333-77;LUIZ;21;Efetivo
20;111.222.333-78;ANDREY;57;Inativo
